"ID","Score","Rate",
"0","0","0",
"1","1","0.04",
"2","2","0.08",
"3","3","0.1",
"4","4","0.12",
"5","5","0.14",
"6","6","0.16",
"7","7","0.18",
"8","8","0.2",
"9","9","0.22",
"10","10","0.24",
"11","11","0.26",
"12","12","0.28",
"13","13","0.3",
"14","14","0.31",
"15","15","0.32",
"16","16","0.33",
"17","17","0.34",
"18","18","0.35",
"19","19","0.36",
"20","20","0.37",
"21","21","0.38",
"22","22","0.39",
"23","23","0.4",
"24","24","0.41",
"25","25","0.42",
"26","26","0.43",
"27","27","0.44",
"28","28","0.45",
"29","29","0.46",
"30","30","0.47",
"31","31","0.48",
"32","32","0.49",
"33","33","0.5",
"34","34","0.51",
"35","35","0.52",
"36","36","0.53",
"37","37","0.53",
"38","38","0.54",
"39","39","0.54",
"40","40","0.55",
"41","41","0.55",
"42","42","0.55",
"43","43","0.56",
"44","44","0.56",
"45","45","0.57",
"46","46","0.57",
"47","47","0.57",
"48","48","0.58",
"49","49","0.58",
"50","50","0.58",
"51","51","0.59",
"52","52","0.59",
"53","53","0.59",
"54","54","0.6",
"55","55","0.6",
"56","56","0.6",
"57","57","0.61",
"58","58","0.61",
"59","59","0.61",
"60","60","0.62",
"61","61","0.62",
"62","62","0.62",
"63","63","0.63",
"64","64","0.63",
"65","65","0.63",
"66","66","0.63",
"67","67","0.64",
"68","68","0.64",
"69","69","0.64",
"70","70","0.65",
"71","71","0.65",
"72","72","0.65",
"73","73","0.65",
"74","74","0.66",
"75","75","0.66",
"76","76","0.66",
"77","77","0.66",
"78","78","0.67",
"79","79","0.67",
"80","80","0.67",
"81","81","0.68",
"82","82","0.68",
"83","83","0.68",
"84","84","0.68",
"85","85","0.68",
"86","86","0.69",
"87","87","0.69",
"88","88","0.69",
"89","89","0.69",
"90","90","0.7",
"91","91","0.7",
"92","92","0.7",
"93","93","0.7",
"94","94","0.71",
"95","95","0.71",
"96","96","0.71",
"97","97","0.71",
"98","98","0.71",
"99","99","0.72",
"100","100","0.75",
"101","101","0.75",
"102","102","0.75",
"103","103","0.75",
"104","104","0.75",
"105","105","0.75",
"106","106","0.75",
"107","107","0.75",
"108","108","0.75",
"109","109","0.75",
"110","110","0.76",
"111","111","0.76",
"112","112","0.76",
"113","113","0.76",
"114","114","0.76",
"115","115","0.76",
"116","116","0.76",
"117","117","0.76",
"118","118","0.76",
"119","119","0.76",
"120","120","0.77",
"121","121","0.77",
"122","122","0.77",
"123","123","0.77",
"124","124","0.77",
"125","125","0.77",
"126","126","0.77",
"127","127","0.77",
"128","128","0.77",
"129","129","0.77",
"130","130","0.78",
"131","131","0.78",
"132","132","0.78",
"133","133","0.78",
"134","134","0.78",
"135","135","0.78",
"136","136","0.78",
"137","137","0.78",
"138","138","0.78",
"139","139","0.78",
